IMIÊ PIERWSZE;P£EÆ;LICZBA WYST¥PIEÑ;
LIUBOV;KOBIETA;17033;20530601
ADRIANA;KOBIETA;16170;20546771
HONORATA;KOBIETA;16126;20562897
VERONIKA;KOBIETA;15775;20578672
NELA;KOBIETA;15560;20594232
PAULA;KOBIETA;15441;20609673
LARYSA;KOBIETA;15119;20624792
BRYGIDA;KOBIETA;14544;20639336
AURELIA;KOBIETA;14510;20653846
VALERIIA;KOBIETA;14463;20668309
IZABELLA;KOBIETA;14438;20682747
KALINA;KOBIETA;13984;20696731
ALLA;KOBIETA;13698;20710429
MARIKA;KOBIETA;13342;20723771
GERTRUDA;KOBIETA;13188;20736959
MIECZYS£AWA;KOBIETA;13188;20750147
SONIA;KOBIETA;12832;20762979
BO¯ENNA;KOBIETA;12650;20775629
ELWIRA;KOBIETA;12596;20788225
LILIIA;KOBIETA;12388;20800613
MARZANNA;KOBIETA;12383;20812996
OLIVIA;KOBIETA;12310;20825306
TAMARA;KOBIETA;12274;20837580
AND¯ELIKA;KOBIETA;11819;20849399
POLINA;KOBIETA;11539;20860938
ALONA;KOBIETA;11520;20872458
ARLETA;KOBIETA;11289;20883747
TATIANA;KOBIETA;11103;20894850
YELYZAVETA;KOBIETA;11080;20905930
LUIZA;KOBIETA;10849;20916779
KHRYSTYNA;KOBIETA;10303;20927082
VICTORIA;KOBIETA;10145;20937227
ADELA;KOBIETA;9781;20947008
JUDYTA;KOBIETA;9756;20956764
MIA;KOBIETA;9600;20966364
NICOLE;KOBIETA;9500;20975864
FRANCISZKA;KOBIETA;9361;20985225
IVANNA;KOBIETA;9334;20994559
MARIANA;KOBIETA;9189;21003748
NICOLA;KOBIETA;9040;21012788
NATASZA;KOBIETA;9003;21021791
LIWIA;KOBIETA;8869;21030660
JOWITA;KOBIETA;8731;21039391
VIRA;KOBIETA;8492;21047883
VANESSA;KOBIETA;8411;21056294
ALFREDA;KOBIETA;8366;21064660
YEVHENIIA;KOBIETA;8331;21072991
APOLONIA;KOBIETA;8036;21081027
ROMANA;KOBIETA;7941;21088968
MELANIA;KOBIETA;7862;21096830
INGA;KOBIETA;7857;21104687
JESSICA;KOBIETA;7661;21112348
ANHELINA;KOBIETA;7609;21119957
ELENA;KOBIETA;7551;21127508
DARYNA;KOBIETA;7484;21134992
ADA;KOBIETA;7467;21142459
ELEONORA;KOBIETA;7374;21149833
MARZENNA;KOBIETA;7320;21157153
JULIANNA;KOBIETA;7307;21164460
ESTERA;KOBIETA;7231;21171691
BIANKA;KOBIETA;7046;21178737
LUDWIKA;KOBIETA;7034;21185771
MARHARYTA;KOBIETA;7006;21192777
LESIA;KOBIETA;6958;21199735
MILANA;KOBIETA;6851;21206586
SOFIA;KOBIETA;6769;21213355
BERNADETTA;KOBIETA;6619;21219974
ZENONA;KOBIETA;6585;21226559
WAC£AWA;KOBIETA;6387;21232946
KARYNA;KOBIETA;6276;21239222
ZLATA;KOBIETA;6249;21245471
KIRA;KOBIETA;6240;21251711
ULIANA;KOBIETA;6189;21257900
ALISA;KOBIETA;6130;21264030
DONATA;KOBIETA;6084;21270114
WALENTYNA;KOBIETA;6063;21276177
LUDMI£A;KOBIETA;6054;21282231
ANETTA;KOBIETA;6038;21288269
YEVA;KOBIETA;5971;21294240
LIDIIA;KOBIETA;5924;21300164
MAYA;KOBIETA;5913;21306077
OLESIA;KOBIETA;5905;21311982
FELICJA;KOBIETA;5903;21317885
LILIA;KOBIETA;5888;21323773
RITA;KOBIETA;5855;21329628
IDA;KOBIETA;5731;21335359
HILDEGARDA;KOBIETA;5683;21341042
ZENOBIA;KOBIETA;5649;21346691
EMMA;KOBIETA;5614;21352305
AMANDA;KOBIETA;5561;21357866
ROMUALDA;KOBIETA;5515;21363381
KSENIIA;KOBIETA;5430;21368811
MYROSLAVA;KOBIETA;5369;21374180
OTYLIA;KOBIETA;5369;21379549
KRISTINA;KOBIETA;5289;21384838
ARINA;KOBIETA;5256;21390094
GIZELA;KOBIETA;5242;21395336
RUSLANA;KOBIETA;5127;21400463
IRMINA;KOBIETA;5074;21405537
ALBINA;KOBIETA;5043;21410580
DARIIA;KOBIETA;4896;21415476
VITA;KOBIETA;4877;21420353
VIKTORIA;KOBIETA;4833;21425186
LILLA;KOBIETA;4715;21429901
S£AWOMIRA;KOBIETA;4706;21434607
BERNARDA;KOBIETA;4599;21439206
ALENA;KOBIETA;4586;21443792
ERYKA;KOBIETA;4581;21448373
PELAGIA;KOBIETA;4536;21452909
ANGELINA;KOBIETA;4536;21457445
GAJA;KOBIETA;4468;21461913
SOLOMIIA;KOBIETA;4456;21466369
ANASTASIYA;KOBIETA;4362;21470731
YULIYA;KOBIETA;4338;21475069
LONGINA;KOBIETA;4285;21479354
WALERIA;KOBIETA;4149;21483503
RYSZARDA;KOBIETA;4124;21487627
VLADYSLAVA;KOBIETA;4114;21491741
KAMILLA;KOBIETA;4063;21495804
TEODOZJA;KOBIETA;4048;21499852
TEODORA;KOBIETA;3970;21503822
IRINA;KOBIETA;3910;21507732
ALEXANDRA;KOBIETA;3894;21511626
ZHANNA;KOBIETA;3880;21515506
RAISA;KOBIETA;3838;21519344
MIRELA;KOBIETA;3832;21523176
TATSIANA;KOBIETA;3791;21526967
ADELAJDA;KOBIETA;3732;21530699
ZOJA;KOBIETA;3725;21534424
LILA;KOBIETA;3713;21538137
VARVARA;KOBIETA;3700;21541837
VOLHA;KOBIETA;3654;21545491
FAUSTYNA;KOBIETA;3625;21549116
ANZHELA;KOBIETA;3616;21552732
KATSIARYNA;KOBIETA;3559;21556291
NATALIYA;KOBIETA;3496;21559787
MARINA;KOBIETA;3492;21563279
MARIYA;KOBIETA;3464;21566743
BOHDANA;KOBIETA;3440;21570183
SAMANTA;KOBIETA;3435;21573618
ANASTASIA;KOBIETA;3413;21577031
OLIMPIA;KOBIETA;3386;21580417
NATALLIA;KOBIETA;3368;21583785
EVA;KOBIETA;3349;21587134
KSENIA;KOBIETA;3238;21590372
MARCELA;KOBIETA;3195;21593567
MARYLA;KOBIETA;3193;21596760
JAGNA;KOBIETA;3146;21599906
GALYNA;KOBIETA;3075;21602981
LUCJA;KOBIETA;3028;21606009
YAROSLAVA;KOBIETA;3019;21609028
NEL;KOBIETA;3000;21612028
SNIZHANA;KOBIETA;2997;21615025
ZYTA;KOBIETA;2966;21617991
OKTAWIA;KOBIETA;2952;21620943
KONSTANCJA;KOBIETA;2914;21623857
DARYA;KOBIETA;2893;21626750
PAMELA;KOBIETA;2796;21629546
LEONARDA;KOBIETA;2758;21632304
ZORIANA;KOBIETA;2749;21635053
FELIKSA;KOBIETA;2716;21637769
EMILIIA;KOBIETA;2707;21640476
WANESSA;KOBIETA;2702;21643178
NOEMI;KOBIETA;2692;21645870
CLAUDIA;KOBIETA;2673;21648543
TETYANA;KOBIETA;2642;21651185
NIKOL;KOBIETA;2604;21653789
SOPHIE;KOBIETA;2559;21656348
EVELINA;KOBIETA;2545;21658893
EMILY;KOBIETA;2542;21661435
BOGNA;KOBIETA;2510;21663945
MARYIA;KOBIETA;2497;21666442
IULIIA;KOBIETA;2492;21668934
MIRELLA;KOBIETA;2474;21671408
ANZHELIKA;KOBIETA;2440;21673848
STELLA;KOBIETA;2391;21676239
INEZ;KOBIETA;2374;21678613
LEA;KOBIETA;2364;21680977
GANNA;KOBIETA;2344;21683321
MICHELLE;KOBIETA;2288;21685609
ZINAIDA;KOBIETA;2284;21687893
TOLA;KOBIETA;2272;21690165
KRZYSZTOFA;KOBIETA;2270;21692435
ZOIA;KOBIETA;2237;21694672
NELIA;KOBIETA;2187;21696859
SARAH;KOBIETA;2171;21699030
OLA;KOBIETA;2169;21701199
JAŒMINA;KOBIETA;2159;21703358
VALENTINA;KOBIETA;2147;21705505
BOLES£AWA;KOBIETA;2144;21707649
SVETLANA;KOBIETA;2126;21709775
NADZIEJA;KOBIETA;2122;21711897
ANGELA;KOBIETA;2118;21714015
EDWARDA;KOBIETA;2098;21716113
MILA;KOBIETA;2088;21718201
VIKTORYIA;KOBIETA;2082;21720283
ELFRYDA;KOBIETA;2064;21722347
LIUDMILA;KOBIETA;2056;21724403
GALINA;KOBIETA;2044;21726447
MIRIAM;KOBIETA;1990;21728437
ANA;KOBIETA;1971;21730408
SALOMEA;KOBIETA;1965;21732373
SVIATLANA;KOBIETA;1957;21734330
TAISIIA;KOBIETA;1952;21736282
INES;KOBIETA;1947;21738229
LARA;KOBIETA;1936;21740165
NATALIE;KOBIETA;1888;21742053
EDELTRAUDA;KOBIETA;1872;21743925
ANTONIA;KOBIETA;1831;21745756
VITALINA;KOBIETA;1791;21747547
LINA;KOBIETA;1782;21749329
MARIETTA;KOBIETA;1774;21751103
IZA;KOBIETA;1773;21752876
ROMA;KOBIETA;1773;21754649
SOPHIA;KOBIETA;1758;21756407
VASYLYNA;KOBIETA;1756;21758163
ALIAKSANDRA;KOBIETA;1742;21759905
ARLETTA;KOBIETA;1717;21761622
MAIIA;KOBIETA;1712;21763334
ADELINA;KOBIETA;1705;21765039
KLEMENTYNA;KOBIETA;1705;21766744
ERIKA;KOBIETA;1704;21768448
MANUELA;KOBIETA;1695;21770143
ELINA;KOBIETA;1674;21771817
KLAUDYNA;KOBIETA;1642;21773459
VERONICA;KOBIETA;1640;21775099
AMINA;KOBIETA;1615;21776714
MARGARITA;KOBIETA;1569;21778283
RUTA;KOBIETA;1568;21779851
NADIYA;KOBIETA;1563;21781414
GRETA;KOBIETA;1552;21782966
YANINA;KOBIETA;1544;21784510
SOFIYA;KOBIETA;1542;21786052
LIVIA;KOBIETA;1534;21787586
WIERA;KOBIETA;1519;21789105
LYUDMYLA;KOBIETA;1514;21790619
HELGA;KOBIETA;1512;21792131
JANA;KOBIETA;1505;21793636
ANDREA;KOBIETA;1490;21795126
NIKA;KOBIETA;1489;21796615
FLORENTYNA;KOBIETA;1477;21798092
MARTINA;KOBIETA;1466;21799558
ALA;KOBIETA;1443;21801001
GERDA;KOBIETA;1419;21802420
GLORIA;KOBIETA;1403;21803823
KSENIYA;KOBIETA;1401;21805224
ROKSOLANA;KOBIETA;1386;21806610
LYUBOV;KOBIETA;1380;21807990
DOBROS£AWA;KOBIETA;1373;21809363
EKATERINA;KOBIETA;1351;21810714
ISABELLA;KOBIETA;1340;21812054
MIRA;KOBIETA;1335;21813389
YARYNA;KOBIETA;1332;21814721
MALINA;KOBIETA;1325;21816046
INA;KOBIETA;1319;21817365
LINDA;KOBIETA;1308;21818673
EULALIA;KOBIETA;1304;21819977
VALERIA;KOBIETA;1298;21821275
IRMGARDA;KOBIETA;1292;21822567
VIKTORIYA;KOBIETA;1288;21823855
KATERINA;KOBIETA;1285;21825140
JENNIFER;KOBIETA;1281;21826421
JAROS£AWA;KOBIETA;1279;21827700
YELIZAVETA;KOBIETA;1278;21828978
BERNARDYNA;KOBIETA;1277;21830255
NICOL;KOBIETA;1276;21831531
PATRICIA;KOBIETA;1270;21832801
SABRINA;KOBIETA;1255;21834056
ELLA;KOBIETA;1237;21835293
VIOLETA;KOBIETA;1233;21836526
ARIANA;KOBIETA;1231;21837757
VERANIKA;KOBIETA;1221;21838978
ELVIRA;KOBIETA;1220;21840198
DINA;KOBIETA;1218;21841416
HANNAH;KOBIETA;1214;21842630
BOGDANA;KOBIETA;1209;21843839
WANESA;KOBIETA;1207;21845046
MARCJANNA;KOBIETA;1205;21846251
ELIZABETH;KOBIETA;1189;21847440
MAJKA;KOBIETA;1181;21848621
HANKA;KOBIETA;1181;21849802
TEOFILA;KOBIETA;1170;21850972
D¯ESIKA;KOBIETA;1169;21852141
ERNA;KOBIETA;1168;21853309
MARITA;KOBIETA;1152;21854461
LUDMILA;KOBIETA;1149;21855610
SIMONA;KOBIETA;1148;21856758
ANDRIANA;KOBIETA;1141;21857899
GABRIELLA;KOBIETA;1131;21859030
ANIKA;KOBIETA;1130;21860160
LARISA;KOBIETA;1127;21861287
VALERYIA;KOBIETA;1126;21862413
DANA;KOBIETA;1122;21863535
PALINA;KOBIETA;1121;21864656
WIRGINIA;KOBIETA;1118;21865774
VERA;KOBIETA;1114;21866888
LUBA;KOBIETA;1114;21868002
LIANA;KOBIETA;1110;21869112
TAMILA;KOBIETA;1105;21870217
ALICE;KOBIETA;1099;21871316
LILY;KOBIETA;1089;21872405
ALESIA;KOBIETA;1085;21873490
CARMEN;KOBIETA;1081;21874571
DAJANA;KOBIETA;1072;21875643
VLADA;KOBIETA;1070;21876713
CAROLINE;KOBIETA;1067;21877780
YULIANA;KOBIETA;1066;21878846
NAOMI;KOBIETA;1051;21879897
EMANUELA;KOBIETA;1043;21880940
YULIA;KOBIETA;1039;21881979
BALBINA;KOBIETA;1033;21883012
DALIA;KOBIETA;1023;21884035
NIKOLETTA;KOBIETA;1020;21885055
ALICIA;KOBIETA;1019;21886074
LIZAVETA;KOBIETA;1017;21887091
BERENIKA;KOBIETA;986;21888077
NELLY;KOBIETA;981;21889058
VITALIIA;KOBIETA;976;21890034
ELIZAVETA;KOBIETA;974;21891008
BIANCA;KOBIETA;953;21891961
AKSANA;KOBIETA;952;21892913
LILIYA;KOBIETA;949;21893862
RAMONA;KOBIETA;948;21894810
KUNEGUNDA;KOBIETA;936;21895746
INKA;KOBIETA;934;21896680
IRMA;KOBIETA;932;21897612
LILLY;KOBIETA;927;21898539
DARINA;KOBIETA;923;21899462
KORNELA;KOBIETA;918;21900380
FILOMENA;KOBIETA;916;21901296
SEWERYNA;KOBIETA;914;21902210
KRYSTSINA;KOBIETA;904;21903114
ULYANA;KOBIETA;904;21904018
MAIA;KOBIETA;902;21904920
¯AKLINA;KOBIETA;899;21905819
KAYA;KOBIETA;892;21906711
IDALIA;KOBIETA;891;21907602
IWONNA;KOBIETA;884;21908486
SWIET£ANA;KOBIETA;879;21909365
JÓZEFINA;KOBIETA;873;21910238
MICHAELA;KOBIETA;873;21911111
BLANDYNA;KOBIETA;871;21911982
AMALIA;KOBIETA;870;21912852
HANA;KOBIETA;866;21913718
NADZEYA;KOBIETA;864;21914582
STEFANIIA;KOBIETA;859;21915441
CRISTINA;KOBIETA;857;21916298
BENEDYKTA;KOBIETA;857;21917155
CAROLINA;KOBIETA;856;21918011
EMILA;KOBIETA;851;21918862
INGRID;KOBIETA;848;21919710
MELANIIA;KOBIETA;845;21920555
LUBOMIRA;KOBIETA;843;21921398
LIGIA;KOBIETA;839;21922237
ABIGAIL;KOBIETA;838;21923075
NASTASSIA;KOBIETA;823;21923898
MARIAM;KOBIETA;820;21924718
MELISA;KOBIETA;818;21925536
SYBILLA;KOBIETA;815;21926351
MARIE;KOBIETA;810;21927161
GABRYELA;KOBIETA;798;21927959
ZOE;KOBIETA;796;21928755
LEONTYNA;KOBIETA;788;21929543
ROXANA;KOBIETA;782;21930325
ALIONA;KOBIETA;780;21931105
MELISSA;KOBIETA;779;21931884
CELESTYNA;KOBIETA;772;21932656
LEILA;KOBIETA;771;21933427
MONICA;KOBIETA;770;21934197
GRACJANA;KOBIETA;766;21934963
INGEBORGA;KOBIETA;760;21935723
