IMI� PIERWSZE;P�E�;LICZBA WYST�PIE�;
YAROSLAV;MʯCZYZNA;17224;19133240
PAVLO;MʯCZYZNA;17018;19150258
KUBA;MʯCZYZNA;16113;19166371
EDMUND;MʯCZYZNA;15807;19182178
VADYM;MʯCZYZNA;15319;19197497
LUCJAN;MʯCZYZNA;15002;19212499
BRUNO;MʯCZYZNA;14893;19227392
ALBERT;MʯCZYZNA;14725;19242117
ANATOLII;MʯCZYZNA;14700;19256817
TOBIASZ;MʯCZYZNA;14664;19271481
ALIAKSANDR;MʯCZYZNA;14438;19285919
ROMUALD;MʯCZYZNA;14192;19300111
GRACJAN;MʯCZYZNA;14154;19314265
SEWERYN;MʯCZYZNA;13779;19328044
SZCZEPAN;MʯCZYZNA;13223;19341267
YEVHEN;MʯCZYZNA;13094;19354361
DAVID;MʯCZYZNA;12674;19367035
ANDREI;MʯCZYZNA;12449;19379484
ANTON;MʯCZYZNA;12382;19391866
PETRO;MʯCZYZNA;12161;19404027
ILLIA;MʯCZYZNA;12140;19416167
ALEXANDER;MʯCZYZNA;12101;19428268
KORNEL;MʯCZYZNA;11901;19440169
OLIVIER;MʯCZYZNA;11830;19451999
YEVHENII;MʯCZYZNA;11575;19463574
ALFRED;MʯCZYZNA;11501;19475075
ERNEST;MʯCZYZNA;11269;19486344
NAZAR;MʯCZYZNA;11264;19497608
JOACHIM;MʯCZYZNA;11176;19508784
VALERII;MʯCZYZNA;10874;19519658
LUDWIK;MʯCZYZNA;10805;19530463
STANISLAV;MʯCZYZNA;10551;19541014
LES�AW;MʯCZYZNA;10486;19551500
ALEX;MʯCZYZNA;10443;19561943
BOGUMI�;MʯCZYZNA;10335;19572278
SIARHEI;MʯCZYZNA;10164;19582442
J�DRZEJ;MʯCZYZNA;10108;19592550
TARAS;MʯCZYZNA;10023;19602573
GERARD;MʯCZYZNA;9911;19612484
DANYLO;MʯCZYZNA;9796;19622280
FELIKS;MʯCZYZNA;9610;19631890
DZMITRY;MʯCZYZNA;9549;19641439
MARK;MʯCZYZNA;9032;19650471
KOSTIANTYN;MʯCZYZNA;9015;19659486
LEONARD;MʯCZYZNA;8998;19668484
VIACHESLAV;MʯCZYZNA;8902;19677386
JULIUSZ;MʯCZYZNA;8648;19686034
DENIS;MʯCZYZNA;8277;19694311
ALEKS;MʯCZYZNA;8151;19702462
KLAUDIUSZ;MʯCZYZNA;7739;19710201
OLIVER;MʯCZYZNA;7730;19717931
DORIAN;MʯCZYZNA;7729;19725660
TEODOR;MʯCZYZNA;7646;19733306
